	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	super_pop
NA20827	-27.38647068034153	40.577026694533096	-9.87499035191619	-14.669654615338542	8.512095695179347	3.1791204819717973	3.653078229030257	1.2837959523623792	0.3913562150364762	-15.688354478472757	TSI	EUR
HG02356	-39.08582606145787	-53.82047202944003	-6.549559275298263	-16.209412528103126	7.806572245116554	2.6409260139012862	9.941988886906893	-1.034008090355428	-6.709130239080866	-4.153894573696199	CDX	EAS
NA19704	73.24980878979389	1.820251910536206	-1.0566103391612167	2.700283751085158	-1.1773218685219007	6.524634101987255	-2.2863972325697683	7.118199456091708	0.9695015618468888	-6.607004817008031	ASW	AFR
NA18571	-38.98468080139238	-52.25751319697631	-4.042706137785277	-10.0320610203014	-1.4405416920526524	-5.455895535379359	-3.3993526799826688	2.6773632858864085	2.803057301194219	-2.9918638128337793	CHB	EAS
HG00378	-26.95632503364591	39.95176088637483	-14.154021292533727	-12.845252891759738	-8.130679761997087	-0.992036225965745	-10.361507636962154	6.60139321948934	-10.603641023148969	15.403221652353974	FIN	EUR
HG01806	-39.17715097237518	-53.69794430546057	-2.125158189169555	-12.774448608959805	5.930455450611484	2.2730263947587837	10.504511416093772	0.46978141986841354	-7.275744013596175	-3.1895023481200417	CDX	EAS
HG04216	-27.55801584433899	11.818166837277944	29.24121944838638	8.312103894189907	-11.255979846217057	-1.2444859438341158	-4.653723309258295	2.86540369607655	0.8436571376609568	0.12688829308687613	ITU	SAS
HG02861	81.01130625693864	-4.181008724990928	-3.4009064579389623	-0.060135340042144846	2.9295431613559915	20.735330859161035	2.8684206297119603	-15.509656700641365	6.3818863204608185	12.353943557448176	GWD	AFR
HG00273	-28.721153300703055	39.569594162904245	-13.230061853113249	-10.51965733791166	6.8283867210816656	2.9889685695452397	-4.411649918959596	7.062973363586527	-3.676590494506505	8.911727708017267	FIN	EUR
HG01060	-26.481708619163342	35.796712167601264	-14.136173576976228	0.5292618053990076	-2.3657180275916736	0.45406421111007844	3.8688746006297223	-2.633620600350429	-2.4276229661814717	-6.539552495333979	PUR	AMR
HG00255	-29.22251857579242	39.13929785251868	-8.612858152070169	-18.41282422688472	2.7279675685182725	4.910489478639048	5.262240571389052	-0.028652212699207688	4.001259215309919	-1.8246891618987107	GBR	EUR
NA19327	68.518494522934	-5.350958343000133	3.6870474838230596	-5.190126144870265	14.784292346842333	-26.90516832566566	4.8902412743734525	-13.599793994161024	-11.426501790623949	3.315655118211994	LWK	AFR
HG02485	55.53686168968072	6.345755332820896	-3.12022101316855	-5.595942493776568	4.406916884574236	-2.9975530763939804	-0.9002014595214228	3.528484424781429	-3.0109704566681783	-6.979919011576126	ACB	AFR
HG03190	82.93715674619983	-7.36973712537755	-1.1210328330047552	-1.1879049412346623	-10.764089038768457	-10.433052439294453	-4.4366216617049385	14.257281498468327	2.280529149887199	-14.101599211979401	ESN	AFR
HG03718	-27.85409938390283	7.208459882041438	36.74411557669406	15.179942474455514	1.33776216721464	3.4200375613891474	2.028697107479784	-5.014360877045509	2.835156920502469	0.15866005703109395	ITU	SAS
HG01360	-25.28683301881784	24.111229776940007	-11.235428932098248	3.9075169140760186	-9.679811308983064	-0.9997667099378302	-0.6053676304333514	5.790948214896498	-2.055710101075114	-5.50178888418785	CLM	AMR
NA18748	-35.76957367971343	-55.69482240852537	-6.0012759266651	-11.614586241308007	-6.670361621976055	-1.752730504000786	-6.807449327716706	-0.8906566655643466	-6.1464171533101055	6.737249234205384	CHB	EAS
HG03198	84.07178803029383	-7.9467895487949605	0.3512369699811932	-1.1009395472072894	-1.3512847806490789	-9.5131452534131	1.4730890689399276	11.526069947246384	5.445745235654079	-5.715661685881085	ESN	AFR
HG02278	-39.08954825446718	-17.209473584942437	-40.07610410750412	58.92438471791203	-2.4587135578747636	3.3507770634528242	11.050908407980426	2.0833851828190246	4.887686517813613	-2.1327033599201344	PEL	AMR
HG00311	-27.28486519200398	36.038273572657765	-11.291391331294665	-8.17589663292671	2.248563447940062	1.0333000490044646	-1.6239179881207284	6.0182918814288495	-6.357997572808926	12.842682347251857	FIN	EUR
NA19037	77.65285957501152	-6.2294726908854186	4.311700288995293	-1.783663485425501	-18.24393649537194	-23.95340801038529	-4.022020136715107	-17.250636602054335	-12.54815820095287	4.054958452750051	LWK	AFR
HG03999	-24.450965466802995	12.917608341086726	32.9855400877136	6.79713163748553	6.16313661078105	3.8573189927351312	-1.7373114791731321	2.736202433744934	-6.829451586108428	-1.9783330221839837	STU	SAS
NA20533	-25.44689304557322	43.76419306772074	-7.634534201275193	-10.77818038688639	4.0389397796871895	-2.1630161711226408	0.3587957728269631	-4.779274761681995	2.035886577744937	-0.4091131092403404	TSI	EUR
HG00313	-28.88552304423557	38.11156131900351	-17.988908061916067	-10.948046176884855	9.999528387628075	4.299243912942082	-2.6206627833856895	4.3795920954594285	-12.568254338771506	12.070913370933766	FIN	EUR
NA19792	-25.27661829107012	15.47781143998678	-19.73742669625703	11.415364493148468	14.016472108169673	0.8032349338816673	4.109054139602825	-6.262957067694483	-2.419909923407281	-0.00216475897444071	MXL	AMR
HG00306	-27.997367482685245	36.698724447387534	-12.354746351310324	-10.186517669010556	2.4863327190684004	0.5728810913647395	-4.184036682601971	3.8305413780254254	-5.9629622962349185	35.55038903596504	FIN	EUR
NA18876	84.74371241817022	-7.300002164591946	-1.0115344376929571	1.6458444800615022	5.074498637938304	-6.416298635403525	4.722620138525086	6.430452563111014	0.6225603976484954	-2.95153438698734	YRI	AFR
HG01802	-39.53046449597337	-54.147450363302355	-2.1361481315809363	-11.463051894890759	-5.53150174255605	4.357102953121959	13.461765281100785	-2.3108132070926604	-1.7760445943273602	-4.131377153686017	CDX	EAS
HG02477	69.92756928260854	3.7509397748343862	-2.5993765224732583	1.279939961343974	-14.179203700906374	-4.06129586748843	-1.98725066758239	1.4990873630258867	0.19577616669649103	5.496785275254499	ACB	AFR
NA18993	-37.86618366212517	-52.29641084174444	0.08334295481565179	-6.146449883888241	0.4048716453538429	-2.4298348059552213	-18.65182482438502	-3.3549286713724045	3.9042203884472664	-8.611635350117439	JPT	EAS
HG03046	85.17156467043965	-3.4471574767497715	2.553581524197704	-2.1553967899689925	-6.008605674413022	18.60339303801906	-1.1235145649879579	-10.519862504062475	-1.7585800077617084	0.7967473910582887	GWD	AFR
NA19713	42.66249823219002	11.266529790340876	-7.057410080230439	-5.876833575566841	10.707771030889011	4.687669540285175	-5.672431815183152	-1.556957962236939	-3.935171557706979	-17.934952229327404	ASW	AFR
HG02182	-41.33609199720831	-48.7838488614977	-1.4072561341725993	-12.106637786932055	9.7941901348438	-3.3276450271936198	19.191472132727363	-3.0178317822473097	5.220044377908271	5.401512776846464	CDX	EAS
HG03788	-28.48649925824921	7.7613391349612035	28.452777068412395	9.881341602515858	9.94651711990604	8.32356814638187	-1.4692002666083082	2.9193977381848604	-8.212922348552528	-5.943813211487677	ITU	SAS
HG00272	-25.321848317284953	31.3902619567407	-11.59395605284587	-16.153174330717032	5.302409979434348	-0.3556244197830947	-7.83044464233742	10.655260258001888	-11.603953425032813	3.1936300184837814	FIN	EUR
HG00173	-26.69738152198264	32.52342429595107	-13.416171401181934	-12.47564949269464	6.3557233365335355	4.3012247513954	-2.3370367668798244	14.394945118413347	-11.094205773933789	5.907102079000645	FIN	EUR
HG00123	-25.542919873934213	35.537632294764386	-11.256779964323014	-12.882229949511695	-0.005225432093513702	-1.9664715595047988	-3.5306236731559193	7.791843873377611	-7.981552287753316	0.9673472294373235	GBR	EUR
HG03265	82.23111428841187	-6.217150108632701	0.8885730866749998	-2.2070511989904444	7.228285090231505	-8.381424593453836	4.535564016496895	19.76034960553769	4.578859514632915	-9.188396816619651	ESN	AFR
