sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,pop,super_pop
HG04174,-21.91662303783238,3.810142887720744,-19.451854765190596,6.9229070176278675,10.563696076567052,1.036510847089103,-0.878804322249232,-1.79743321578398,-1.441235404321693,-3.814976623000677,6.904811047532548,3.635898891967422,-2.274056106484171,3.7184221934336255,4.876064167553333,-3.640216769629513,0.5746576278748298,4.9353440677465175,-2.220517455368506,-3.493754370172354,BEB,SAS
HG02788,-21.219909796630233,3.3882534797656008,-25.816639041928376,11.195184664194677,-0.5143626486603509,1.5965622908445567,0.7296242057851554,3.2917089517522076,-5.094720760521964,-3.2388382148180916,4.4421304592080375,-1.2979810654901285,-1.3915629497448705,-1.9257194477526711,-3.044191638133325,4.55809083625313,3.044571131317665,2.818753131036734,-0.08044584383013262,-9.111538924820978,PJL,SAS
HG03740,-18.93479011189557,7.28700244852145,-21.209417520679764,10.054815415639958,0.7081892492992058,2.9586447339705058,1.8099490131200486,-0.8152293754399456,-2.6977731601786625,4.755472905418432,1.9788003346991825,4.933835288390855,-2.5863414062359666,-8.422834594395558,7.432175265981715,1.3630796874668918,0.7349702332463488,6.732263757741275,0.70693126516101,-5.804672182616317,STU,SAS
NA19258,56.71736246185028,-4.846343604719094,-1.338764868264602,-1.733257668641763,4.739304159120736,-4.641217137111065,-1.2631611098479014,2.369402352447863,-1.679476985913984,-5.142685629439018,-3.0163279477660283,-4.146462961549278,-1.6818811407731145,2.937685190657756,5.019004564378352,-5.572230334625581,0.1883942120141784,2.55414692091653,8.712272036998009,2.8347242839649285,YRI,AFR
HG01341,-20.21068391195117,2.8359529349506887,20.34717842501166,18.07010413307367,-2.9690379930548176,-0.3184909980302086,-3.39999102747847,1.9900769541547654,0.4619742958480206,3.365114916668518,-1.8385312027023155,1.0403456114652834,-3.554049053297335,-6.507305557260744,-0.2549713845576349,7.396066622537855,3.42311368364599,-8.877300955449325,1.6672543817416607,-12.852849584641925,CLM,AMR
HG03547,62.59573862617783,-4.706555010848509,1.395791961638536,0.11263437237605531,8.222966124385476,8.956144097576642,1.7668311671550536,2.752650918400924,-0.8958872004438667,-2.9282264502450297,6.633301499331999,6.79945467597279,-5.330516180626011,0.5534239657232668,-3.0016929384262263,-0.9286653367072232,4.303958492808907,-0.7806076543535296,-3.087911557644198,-4.199801504987924,MSL,AFR
HG01518,-22.082931480458416,29.608690009285255,4.625274047089483,-14.835629978033658,6.426240636457682,-2.6005430164383676,-0.7055536083514283,-1.9036495212592766,2.63871166786812,5.346681698078573,3.77808502747511,0.44061050170481464,-4.933961111329283,0.8797409713097308,-6.18521368854667,3.445713808136686,0.08227151009015608,0.9086471583769075,3.5380766479365895,-1.6605058038243334,IBS,EUR
HG00360,-23.216030842111163,27.78510679936252,2.216379685599177,-9.355686523104346,-7.020083108956363,3.2382014247716993,5.583518475002886,-0.4025060361872591,6.2714111220854125,-5.692157515857544,-9.646352489744746,3.979411247296979,-4.726139629410715,3.2039282465765577,-4.016473387864935,-5.441480397967283,-1.1538863613351409,3.3577188039750108,4.258649607906874,7.130369039039833,FIN,EUR
HG02052,60.024463685962495,-5.087242641124649,-0.6140326196778761,2.7824520540234094,2.4671901357284636,-4.716738309949552,-1.96518761436018,3.8829921210484213,3.552525752960252,-0.6787130585996881,1.5858336671657205,-0.9813916177580256,-5.581947752445637,0.7954359962068057,-0.3133126304052064,2.519600529508737,-5.129190366888601,-0.5799662247878985,-4.484574899806833,0.5982343913753041,ACB,AFR
HG00620,-29.133139173639083,-41.42056838948919,-1.2971799625201719,-12.16709601452891,-3.5739899528874997,-0.8219292545096916,-2.3674645850935714,-5.023899587578808,0.6301927019405174,0.23519334227790784,2.6516028589523004,-2.4291186634079893,0.9651359416644477,3.070186552695206,8.16925328494762,0.647476861102738,-3.5502601626406993,3.818910799269832,-0.48711601151898937,1.7270835629238876,CHS,EAS
NA19063,-27.67734144416267,-36.28943015598346,2.3796543912201544,-8.30334151526709,7.505569748559953,1.1002201615060447,-1.2644991414775728,-5.516547549224197,-4.048874077342147,-4.976230485471597,4.347145357312073,-2.468575118344487,4.764995480163667,2.1782043345059003,-0.6264524731853987,2.2664754189539256,1.9595518016350317,-1.9667247996540407,-0.5835764918344252,0.7326720210115145,JPT,EAS
HG03520,61.450355264049705,-3.8663884308703635,1.9449470085437242,0.9295890092934366,0.1946047322804552,-6.166339641876098,-1.4023265789280308,2.4971642160848027,4.724677873747431,-5.795464855442879,4.063646850544636,-0.3554614266513109,-2.461292709338771,-2.4089522208131617,4.566692209760625,6.489809237330435,-11.178846974811153,0.15383871779998068,-2.7157818105351,-5.921007150804515,ESN,AFR
NA19059,-25.952819718732062,-34.063985094887485,2.3021789649156834,-6.8197632364549285,6.462134383716017,2.081777060948228,-2.0788698792580154,-11.727467256212016,-0.47300783263447926,0.7279510962235755,2.2874599477862847,-4.142516529584511,-3.6582318587611704,-5.32780812811243,3.2913914809711153,7.832466113876925,1.6599921523959706,-3.3614237315537876,-1.010408540763466,1.6027156442570505,JPT,EAS
HG00706,-28.072726009567997,-41.40852466751056,-1.7117233884131662,-10.474156511300974,-3.9987101216967873,3.098714992743948,7.481282552317765,-1.6068404684593631,-4.328942194786363,-3.9542590583617163,1.9026903706667053,0.697808950572613,6.2466113520706035,3.863587846513926,0.6115947411525895,2.9098891980421993,-4.213828452305483,-4.790361872902203,-3.416135208092486,1.3703828557436408,CHS,EAS
HG02880,58.66112806813533,-1.0125550387529676,-2.5798054374382304,0.5698609978789387,-7.493225613906285,20.746328118238218,1.1140361385419972,3.200717805609105,-0.18480018227695316,2.961426090112225,3.145888862491294,2.127548956010226,3.978852945549104,-9.039490856491755,7.032439357887549,1.8492637714909714,-1.334173759583662,0.804112340106735,0.9970214112340142,3.5759125688726443,GWD,AFR
NA19108,58.31823157733054,-5.3989148270848935,2.9452849588586076,1.2448893070796347,-2.8884479622175556,-6.554747590397491,4.969179486666441,-2.422702493924789,1.0875234989207059,-2.92555360211864,0.3813839794779495,-0.7032455226235665,0.3413522214628747,4.994044710058594,-1.656229766070119,-1.8146572651838875,-6.395413933043072,3.9324856374900325,2.659829076167839,0.3635975969275629,YRI,AFR
HG03472,61.687313857007766,-2.3337258919538164,1.9354810018172328,0.4057380080151117,-11.859843116075988,2.929734245956364,4.645883667809428,-2.147223657275937,-2.530932141749999,-3.819394300776521,-2.6422608943701795,5.466683473913885,-1.0300025466843914,8.41182070634619,-2.5949895862516463,2.2889966213952904,6.250049068764343,-2.5172567047272634,-0.4876589022776509,-1.8795021300869201,MSL,AFR
